CarName,cylindernumber,stroke,horsepower,price
alfa-romero giulia,4,2.68,111,13495
alfa-romero stelvio,4,2.68,111,16500
alfa-romero Quadrifoglio,6,3.47,154,16500
audi 100 ls,4,3.4,102,13950
audi 100ls,5,3.4,115,17450
audi fox,5,3.4,110,15250
audi 100ls,5,3.4,110,17710
audi 5000,5,3.4,110,18920
audi 4000,5,3.4,140,23875
audi 5000s (diesel),5,3.4,160,17859.167
bmw 320i,4,2.8,101,16430
bmw 320i,4,2.8,101,16925
bmw x1,6,3.19,121,20970
bmw x3,6,3.19,121,21105
bmw z4,6,3.19,121,24565
bmw x4,6,3.39,182,30760
bmw x5,6,3.39,182,41315
bmw x3,6,3.39,182,36880
chevrolet impala,3,3.03,48,5151
chevrolet monte carlo,4,3.11,70,6295
chevrolet vega 2300,4,3.11,70,6575
dodge rampage,4,3.23,68,5572
dodge challenger se,4,3.23,68,6377
dodge d200,4,3.39,102,7957
dodge monaco (sw),4,3.23,68,6229
dodge colt hardtop,4,3.23,68,6692
dodge colt (sw),4,3.23,68,7609
dodge cor1t custom,4,3.39,102,8558
dodge dart custom,4,3.46,88,8921
dodge cor1t custom (sw),4,3.9,145,12964
honda civic,4,3.41,58,6479
honda civic cvcc,4,3.41,76,6855
honda civic,4,3.07,60,5399
honda accord cvcc,4,3.41,76,6529
honda civic cvcc,4,3.41,76,7129
honda accord lx,4,3.41,76,7295
honda civic 1500 gl,4,3.41,76,7295
honda accord,4,3.58,86,7895
honda civic 1300,4,3.58,86,9095
honda prelude,4,3.58,86,8845
honda accord,4,3.58,86,10295
honda civic,4,3.58,101,12945
honda civic (auto),4,3.58,100,10345
isuzu MU-X,4,3.23,78,6785
isuzu D-Max ,4,3.11,70,8916.5
isuzu D-Max V-Cross,4,3.11,70,8916.5
isuzu D-Max ,4,3.23,90,11048
jaguar xj,6,4.17,176,32250
jaguar xf,6,4.17,176,35550
jaguar xk,12,2.76,262,36000
maxda rx3,4,3.15,68,5195
maxda glc deluxe,4,3.15,68,6095
mazda rx2 coupe,4,3.15,68,6795
mazda rx-4,4,3.15,68,6695
mazda glc deluxe,4,3.15,68,7395
mazda 626,2,3.255,101,10945
mazda glc,2,3.255,101,11845
mazda rx-7 gs,2,3.255,101,13645
mazda glc 4,2,3.255,135,15645
mazda 626,4,3.39,84,8845
mazda glc custom l,4,3.39,84,8495
mazda glc custom,4,3.39,84,10595
mazda rx-4,4,3.39,84,10245
mazda glc deluxe,4,3.39,64,10795
mazda 626,4,3.39,84,11245
mazda glc,4,3.16,120,18280
mazda rx-7 gs,4,3.64,72,18344
buick electra 225 custom,5,3.64,123,25552
buick century luxus (sw),5,3.64,123,28248
buick century,5,3.64,123,28176
buick skyhawk,5,3.64,123,31600
buick opel isuzu deluxe,8,3.1,155,34184
buick skylark,8,3.1,155,35056
buick century special,8,3.35,184,40960
buick regal sport coupe (turbo),8,3.35,184,45400
mercury cougar,4,3.12,175,16503
mitsubishi mirage,4,3.23,68,5389
