car_ID,cylindernumber,stroke,horsepower,price
1,4,2.68,111,13495
2,4,2.68,111,16500
3,6,3.47,154,16500
4,4,3.4,102,13950
5,5,3.4,115,17450
6,5,3.4,110,15250
7,5,3.4,110,17710
8,5,3.4,110,18920
9,5,3.4,140,23875
10,5,3.4,160,17859.167
11,4,2.8,101,16430
12,4,2.8,101,16925
13,6,3.19,121,20970
14,6,3.19,121,21105
15,6,3.19,121,24565
16,6,3.39,182,30760
17,6,3.39,182,41315
18,6,3.39,182,36880
19,3,3.03,48,5151
20,4,3.11,70,6295
21,4,3.11,70,6575
22,4,3.23,68,5572
23,4,3.23,68,6377
24,4,3.39,102,7957
25,4,3.23,68,6229
26,4,3.23,68,6692
27,4,3.23,68,7609
28,4,3.39,102,8558
29,4,3.46,88,8921
30,4,3.9,145,12964
31,4,3.41,58,6479
32,4,3.41,76,6855
33,4,3.07,60,5399
34,4,3.41,76,6529
35,4,3.41,76,7129
36,4,3.41,76,7295
37,4,3.41,76,7295
38,4,3.58,86,7895
39,4,3.58,86,9095
40,4,3.58,86,8845
41,4,3.58,86,10295
42,4,3.58,101,12945
43,4,3.58,100,10345
44,4,3.23,78,6785
45,4,3.11,70,8916.5
46,4,3.11,70,8916.5
47,4,3.23,90,11048
48,6,4.17,176,32250
49,6,4.17,176,35550
50,12,2.76,262,36000
51,4,3.15,68,5195
52,4,3.15,68,6095
53,4,3.15,68,6795
54,4,3.15,68,6695
55,4,3.15,68,7395
56,2,3.255,101,10945
57,2,3.255,101,11845
58,2,3.255,101,13645
59,2,3.255,135,15645
60,4,3.39,84,8845
61,4,3.39,84,8495
62,4,3.39,84,10595
63,4,3.39,84,10245
64,4,3.39,64,10795
65,4,3.39,84,11245
66,4,3.16,120,18280
67,4,3.64,72,18344
68,5,3.64,123,25552
69,5,3.64,123,28248
70,5,3.64,123,28176
71,5,3.64,123,31600
72,8,3.1,155,34184
73,8,3.1,155,35056
74,8,3.35,184,40960
75,8,3.35,184,45400
76,4,3.12,175,16503
77,4,3.23,68,5389
78,4,3.23,68,6189
79,4,3.23,68,6669
80,4,3.39,102,7689
81,4,3.46,116,9959
82,4,3.46,88,8499
83,4,3.86,145,12629
84,4,3.86,145,14869
85,4,3.86,145,14489
86,4,3.46,88,6989
87,4,3.46,88,8189
88,4,3.46,116,9279
89,4,3.46,116,9279
90,4,3.29,69,5499
91,4,3.47,55,7099
92,4,3.29,69,6649
93,4,3.29,69,6849
94,4,3.29,69,7349
95,4,3.29,69,7299
96,4,3.29,69,7799
97,4,3.29,69,7499
98,4,3.29,69,7999
99,4,3.29,69,8249
100,4,3.47,97,8949
101,4,3.47,97,9549
102,6,3.27,152,13499
103,6,3.27,152,14399
104,6,3.27,152,13499
105,6,3.27,160,17199
106,6,3.27,200,19699
107,6,3.27,160,18399
108,4,3.19,97,11900
109,4,3.52,95,13200
110,4,3.19,97,12440
111,4,3.52,95,13860
112,4,2.19,95,15580
113,4,3.52,95,16900
114,4,2.19,95,16695
115,4,3.52,95,17075
116,4,3.19,97,16630
117,4,3.52,95,17950
118,4,3.21,142,18150
119,4,3.23,68,5572
120,4,3.39,102,7957
121,4,3.23,68,6229
122,4,3.23,68,6692
123,4,3.23,68,7609
124,4,3.46,88,8921
125,4,3.86,145,12764
126,4,3.11,143,22018
127,6,2.9,207,32528
128,6,2.9,207,34028
129,6,2.9,207,37028
130,8,3.11,288,31400.5
131,4,3.9,90,9295
132,4,3.9,90,9895
133,4,3.07,110,11850
134,4,3.07,110,12170
135,4,2.07,110,15040
136,4,3.07,110,15510
137,4,3.07,160,18150
138,4,3.07,160,18620
139,4,2.36,69,5118
140,4,2.64,73,7053
141,4,2.64,73,7603
142,4,2.64,82,7126
143,4,2.64,82,7775
144,4,2.64,94,9960
145,4,2.64,82,9233
146,4,2.64,111,11259
147,4,2.64,82,7463
148,4,2.64,94,10198
149,4,2.64,82,8013
150,4,2.64,111,11694
151,4,3.03,62,5348
152,4,3.03,62,6338
153,4,3.03,62,6488
154,4,3.03,62,6918
155,4,3.03,62,7898
156,4,3.03,62,8778
157,4,3.03,70,6938
158,4,3.03,70,7198
159,4,3.35,56,7898
160,4,3.35,56,7788
161,4,3.03,70,7738
162,4,3.03,70,8358
163,4,3.03,70,9258
164,4,3.03,70,8058
165,4,3.03,70,8238
166,4,3.08,112,9298
167,4,3.08,112,9538
168,4,3.5,116,8449
169,4,3.5,116,9639
170,4,3.5,116,9989
171,4,3.5,116,11199
172,4,3.5,116,11549
173,4,3.5,116,17669
174,4,3.54,92,8948
175,4,3.35,73,10698
176,4,3.54,92,9988
177,4,3.54,92,10898
178,4,3.54,92,11248
179,6,3.35,161,16558
180,6,3.35,161,15998
181,6,3.35,156,15690
182,6,3.35,156,15750
183,4,3.4,52,7775
184,4,3.4,85,7975
185,4,3.4,52,7995
186,4,3.4,85,8195
187,4,3.4,85,8495
188,4,3.4,68,9495
189,4,3.4,100,9995
190,4,3.4,90,11595
191,4,3.4,90,9980
192,5,3.4,110,13295
193,4,3.4,68,13845
194,4,3.4,88,12290
195,4,3.15,114,12940
196,4,3.15,114,13415
197,4,3.15,114,15985
198,4,3.15,114,16515
199,4,3.15,162,18420
200,4,3.15,162,18950
201,4,3.15,114,16845
202,4,3.15,160,19045
203,6,2.87,134,21485
204,6,3.4,106,22470
205,4,3.15,114,22625
